id	loan_count	household_income	most_popular
81328	4	54798	Support Activities for Nonmetallic Minerals (except Fuels) Mining 
81201	10	55057	Full-Service Restaurants 
80654	9	55065	Dairy Cattle and Milk Production
81077	1	55156	Highway, Street, and Bridge Construction 
81503	7	55365	Administration of General Economic Programs 
80623	1	55455	General Freight Trucking, Long-Distance, Truckload 
80917	20	55528	Full-Service Restaurants 
80231	92	55645	Drinking Places (Alcoholic Beverages) 
80501	149	56480	Full-Service Restaurants 
80014	121	56578	Home Health Care Services
80653	2	56779	Dairy Cattle and Milk Production
80110	250	56789	Plumbing, Heating, and Air-Conditioning Contractors 
80610	10	57325	(blank)
80216	253	57348	Plumbing, Heating, and Air-Conditioning Contractors 
80229	108	57674	Plumbing, Heating, and Air-Conditioning Contractors 
80221	102	57826	Electrical Contractors and Other Wiring Installation Contractors
80239	125	58047	Hotels (except Casino Hotels) and Motels 
80524	212	58580	Full-Service Restaurants 
80452	8	58639	Full-Service Restaurants 
80809	1	58813	Amusement and Theme Parks 
81521	7	58844	Crude Petroleum Extraction 
81423	2	58864	Site Preparation Contractors
80812	1	58929	Dairy Cattle and Milk Production
80002	120	59099	Plumbing, Heating, and Air-Conditioning Contractors 
80650	4	59143	Residential Remodelers 
81526	9	59256	Other Noncitrus Fruit Farming 
80915	82	59461	Plumbing, Heating, and Air-Conditioning Contractors 
81236	2	59484	Hotels (except Casino Hotels) and Motels 
80131	1	59737	New Single-Family Housing Construction (except For-Sale Builders) 
81505	95	59914	Plumbing, Heating, and Air-Conditioning Contractors 
80808	4	59934	Water Supply and Irrigation Systems 
80236	4	59938	Wine and Distilled Alcoholic Beverage Merchant Wholesalers 
81624	2	60208	Hotels (except Casino Hotels) and Motels 
81403	5	60411	Veterinary Services 
81654	1	60833	Site Preparation Contractors
80222	128	60896	Offices of Lawyers
80226	52	61014	Full-Service Restaurants 
80512	5	61053	Other Heavy and Civil Engineering Construction 
80303	70	61156	Offices of Physicians (except Mental Health Specialists) 
80545	1	61250	Educational Support Services
81615	16	61273	Lessors of Other Real Estate Property 
81430	1	61346	Landscaping Services
81427	3	61413	Full-Service Restaurants 
81130	2	61641	Theater Companies and Dinner Theaters 
81122	10	62066	Site Preparation Contractors
80651	7	62120	Support Activities for Oil and Gas Operations 
81432	6	62232	Pet Care (except Veterinary) Services 
81240	2	62500	Solid Waste Landfill 
81303	30	62515	Electrical Contractors and Other Wiring Installation Contractors
80017	7	62531	Car Washes 
80517	29	62540	Full-Service Restaurants 
80645	14	62794	Oil and Gas Field Machinery and Equipment Manufacturing 
81630	1	62847	All Other Traveler Accommodation 
80218	56	62923	Offices of Physicians (except Mental Health Specialists) 
81323	3	63056	All Other Traveler Accommodation 
80526	33	63078	Nursing Care Facilities (Skilled Nursing Facilities) 
80105	1	63125	Plumbing, Heating, and Air-Conditioning Contractors 
80235	22	63505	Engineering Services
81225	1	63616	Residential Property Managers 
81527	1	63734	Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing 
81652	8	63750	Support Activities for Oil and Gas Operations 
81649	1	63750	All Other Amusement and Recreation Industries 
80113	52	63826	Offices of Physicians (except Mental Health Specialists) 
81650	20	63857	Plumbing, Heating, and Air-Conditioning Contractors 
80817	14	64103	(blank)
80022	157	64251	Poured Concrete Foundation and Structure Contractors 
80224	44	64254	Home Health Care Services
80918	101	64840	Offices of Dentists 
81639	3	65170	All Other Miscellaneous Manufacturing 
80621	35	65567	Support Activities for Oil and Gas Operations 
80232	17	65596	Full-Service Restaurants 
80514	11	65673	New Car Dealers 
80443	20	65806	Full-Service Restaurants 
80911	10	65824	Full-Service Restaurants 
80003	48	65957	Religious Organizations 
80906	64	65973	Full-Service Restaurants 
80482	10	66442	Full-Service Restaurants 
80205	195	66775	Full-Service Restaurants 
81635	5	66783	Site Preparation Contractors
80440	1	66813	All Other Miscellaneous Store Retailers (except Tobacco Stores) 
81435	36	66815	Full-Service Restaurants 
80733	1	66875	Dairy Cattle and Milk Production
80840	2	67083	Promoters of Performing Arts, Sports, and Similar Events with Facilities 
80227	31	67111	Plumbing, Heating, and Air-Conditioning Contractors 
80537	99	67452	Engineering Services
81007	16	67737	Water and Sewer Line and Related Structures Construction 
81023	1	67824	Ground or Treated Mineral and Earth Manufacturing 
80829	4	67850	Religious Organizations 
80538	115	68031	Full-Service Restaurants 
80535	5	68333	Landscaping Services
80444	2	68333	Skiing Facilities
80120	124	68954	Engineering Services
81069	1	69536	Highway, Street, and Bridge Construction 
81224	18	69714	Full-Service Restaurants 
